"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PARTNO";"POPULARITY";"SPICEPREFIX";"STANDARD";
"BTN1";"PTS810 SJM 250 SMTR LFS";"PTS810SJM250SMTRLFS";"PTS810";"";"";"";"";"";"";"";"";"";"";"PTS810 SJM 250 SMTR LFS ";"";"";"";
"C1";"1uF 0603";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"GCM188R71C105KA64D";"37";"C";"";
"C2";"0.1uF 0603";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"GRM188R72A104KA35D";"37";"C";"";
"C3";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"GRM21BR71A106KA73L";"63";"C";"";
"C4";"0.1uF 0603";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"GRM188R72A104KA35D";"37";"C";"";
"C5";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"GRM21BR71A106KA73L";"63";"C";"";
"CONN1";"TD-103-T-A";"TD-103-T-ACON6_2X3_TU_HTS_SAI";"CON6_2X3_TU_HTS_SAI";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"";"";"";"";"TD-103-T-A";"Samtec Inc";"";"";"TD-103-T-A";"";"";"";
"JP1";"QPC02SXGN-RC";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"QPC02SXGN-RC";"92";"";"";
"JP2";"QPC02SXGN-RC";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"QPC02SXGN-RC";"92";"";"";
"JP3";"QPC02SXGN-RC";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"QPC02SXGN-RC";"92";"";"";
"LED1";"LTST-C191KGKT";"LTST-C191KRKT";"0603";"";"";"";"";"";"";"";"";"";"";"LTST-C191KGKT";"";"";"";
"LED2";"LTST-C191KRKT";"LTST-C191KRKT";"0603";"";"";"";"";"";"";"";"";"";"";"LTST-C191KRKT";"";"";"";
